0
         1267159 function calls (1249907 primitive calls) in 1.599 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       54    0.001    0.000    0.001    0.000 config.py:413(register_option)
      158    0.001    0.000    0.018    0.000 types.py:228(__init__)
     3639    0.001    0.000    0.001    0.000 enum.py:526(__new__)
        1    0.001    0.001    0.017    0.017 __init__.py:58(<module>)
      218    0.001    0.000    0.004    0.000 sre_compile.py:536(_compile_info)
 1270/876    0.001    0.000    0.001    0.000 typing.py:664(__hash__)
      803    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:471(_validate_timestamp_pyc)
     3127    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:855(__enter__)
     6573    0.001    0.000    0.001    0.000 {built-in method _imp.release_lock}
       12    0.001    0.000    0.016    0.001 artist.py:1250(get_aliases)
     1689    0.001    0.000    0.020    0.000 artist.py:1350(is_alias)
     2700    0.001    0.000    0.001    0.000 typing.py:590(_is_dunder)
      719    0.001    0.000    0.006    0.000 colors.py:157(to_rgba)
      803    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:401(_check_name_wrapper)
      411    0.001    0.000    0.003    0.000 copy.py:66(copy)
      805    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:35(_new_module)
     1005    0.001    0.000    0.074    0.000 <frozen importlib._bootstrap_external>:1272(find_spec)
     1861    0.001    0.000    0.001    0.000 {method 'match' of 're.Pattern' objects}
      130    0.001    0.000    0.001    0.000 types.py:68(_setup_fields)
       21    0.001    0.000    0.001    0.000 {built-in method _imp.create_builtin}
  1347/22    0.001    0.000    1.478    0.067 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
  242/170    0.001    0.000    0.007    0.000 typing.py:340(__getitem__)
     1048    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:369(__init__)
      159    0.001    0.000    0.001    0.000 deprecation.py:24(_generate_deprecation_warning)
     4492    0.001    0.000    0.001    0.000 {built-in method _thread.get_ident}
      432    0.001    0.000    0.031    0.000 _decorators.py:330(__call__)
      233    0.001    0.000    0.001    0.000 pyparsing.py:1394(__init__)
        3    0.001    0.000    0.002    0.001 decoder.py:343(raw_decode)
     1313    0.001    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:93(_path_isfile)
   546/54    0.001    0.000    1.367    0.025 {built-in method builtins.__import__}
      252    0.001    0.000    0.002    0.000 _util.py:200(_asarray_validated)
     1242    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap>:151(__exit__)
       32    0.001    0.000    0.003    0.000 {built-in method builtins.eval}
      647    0.001    0.000    0.001    0.000 os.py:674(__getitem__)
      218    0.001    0.000    0.001    0.000 enum.py:836(__and__)
       32    0.001    0.000    0.001    0.000 function_base.py:37(linspace)
      218    0.001    0.000    0.023    0.000 sre_parse.py:913(parse)
       49    0.001    0.000    0.317    0.006 __init__.py:1(<module>)
     3808    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:321(<genexpr>)
     3922    0.001    0.000    0.001    0.000 {method 'pop' of 'list' objects}
      803    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:951(path_stats)
     1613    0.001    0.000    0.004    0.000 re.py:170(match)
      958    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:311(__enter__)
        1    0.001    0.001    0.001    0.001 {built-in method scipy.sparse._sparsetools.csr_sort_indices}
     2427    0.001    0.000    0.001    0.000 inspect.py:158(isfunction)
     2365    0.001    0.000    0.001    0.000 sre_parse.py:172(append)
       72    0.001    0.000    0.007    0.000 __init__.py:1488(_preprocess_data)
     3712    0.001    0.000    0.001    0.000 {built-in method posix.fspath}
     2411    0.001    0.000    0.001    0.000 sre_parse.py:160(__len__)
     2935    0.001    0.000    0.001    0.000 sre_parse.py:249(match)
   260/11    0.001    0.000    0.002    0.000 pyparsing.py:1641(_parseNoCache)
      366    0.001    0.000    0.001    0.000 typing.py:165(_collect_type_vars)
     2409    0.001    0.000    0.001    0.000 {built-in method from_bytes}
     1032    0.001    0.000    0.030    0.000 inspect.py:2829(from_callable)
     1032    0.001    0.000    0.030    0.000 inspect.py:3081(signature)
        2    0.001    0.000    0.001    0.000 {built-in method scipy.sparse._sparsetools.coo_tocsr}
        1    0.001    0.001    0.001    0.001 {method 'readlines' of '_io._IOBase' objects}
     1788    0.001    0.000    0.001    0.000 {method 'get_name' of 'gi.BaseInfo' objects}
     4465    0.001    0.000    0.001    0.000 {method 'strip' of 'str' objects}
       12    0.001    0.000    0.001    0.000 artist.py:1261(<listcomp>)
      472    0.001    0.000    0.003    0.000 deprecation.py:9(wrap)
      312    0.001    0.000    0.001    0.000 enum.py:70(__setitem__)
      142    0.001    0.000    0.004    0.000 deprecation.py:172(deprecate)
       11    0.001    0.000    0.045    0.004 artist.py:1380(pprint_setters)
     1168    0.001    0.000    0.001    0.000 functools.py:67(wraps)
      453    0.001    0.000    0.004    0.000 rcsetup.py:327(validate_color)
      170    0.001    0.000    0.001    0.000 typing.py:212(_remove_dups_flatten)
    12/11    0.001    0.000    0.064    0.006 __init__.py:75(load_overrides)
        1    0.001    0.001    0.001    0.001 request.py:1670(URLopener)
      946    0.001    0.000    0.001    0.000 {method 'translate' of 'str' objects}
     2423    0.001    0.000    0.001    0.000 {built-in method _thread.allocate_lock}
     1242    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:143(__init__)
     5669    0.001    0.000    0.001    0.000 inspect.py:2517(name)
     1546    0.001    0.000    0.001    0.000 sre_parse.py:286(tell)
     1170    0.001    0.000    0.002    0.000 colors.py:123(_is_nth_color)
      783    0.001    0.000    0.013    0.000 {method 'extend' of 'list' objects}
        9    0.001    0.000    0.001    0.000 {built-in method gc.collect}
     6034    0.001    0.000    0.001    0.000 inspect.py:2529(kind)
     3704    0.001    0.000    0.001    0.000 {built-in method builtins.issubclass}
      158    0.001    0.000    0.012    0.000 types.py:204(__init__)
      410    0.001    0.000    0.001    0.000 copy.py:268(_reconstruct)
2448/1856    0.001    0.000    0.001    0.000 {built-in method builtins.hash}
        1    0.000    0.000    0.001    0.001 extension.py:194(ExtensionIndex)
     1260    0.000    0.000    0.000    0.000 colors.py:277(<genexpr>)
       32    0.000    0.000    0.005    0.000 colors.py:782(from_list)
      158    0.000    0.000    0.001    0.000 _signalhelper.py:220(install_signals)
      412    0.000    0.000    0.001    0.000 artist.py:1357(aliased_name)
      161    0.000    0.000    0.000    0.000 _decorators.py:289(__call__)
      111    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1319(__init__)
        7    0.000    0.000    0.000    0.000 {built-in method gi._gi.type_register}
        1    0.000    0.000    0.000    0.000 __init__.py:328(<listcomp>)
